"SKU","Title","Price","Status","Type","Color","Mobile Support","Design Framework","Featured Image","Featured Image Magnified","Other Images","Is Featured Design","Category","Description","Is On Sale","Is New Product","Demo Url","Hide Demo Header","Design Owner","Design Price"
"builder_lime_basic","Drupal Business Theme - Builder","8000","1","Basic","green","Responsive","Twitter Bootstrap","public://drupal-business-theme-Bgreen_462x392.jpg","public://drupal-business-template-Bgreen_924x784.jpg","","True","Business - Corporate","please, contact us for complete description","False","False","http://html.orange-idea.com/builder-html/","yes","","$0.00"
"builder_lime_plus","Builder Green Plus","15000","1","Plus","green","Responsive","Twitter Bootstrap","public://drupal-business-theme-Bgreen_462x392_0.jpg","public://drupal-business-template-Bgreen_924x784_0.jpg","","False","Business - Corporate","Please, contact us for complete description","False","False","http://html.orange-idea.com/builder-html/","yes","","$0.00"
"builder_lime_unlimited","Builder Green Unlimited","30000","1","Ultimate","green","Responsive","Twitter Bootstrap","public://drupal-business-theme-Bgreen_462x392_1.jpg","public://drupal-business-template-Bgreen_924x784_1.jpg","","False","Business - Corporate","please, contact us for complete description","False","False","http://html.orange-idea.com/builder-html/","yes","","$0.00"
"builder_red_basic","Builder Red Basic","8000","1","Basic","red","Responsive","Twitter Bootstrap","public://corporatedrupal-theme-Bred_462x392.jpg","public://business-theme-drupalr-Bred_924x784.jpg","","False","Business - Corporate","please, contact us for complete description","False","False","http://html.orange-idea.com/builder-html/","yes","","$0.00"
"builder_red_plus","Builder Red Plus","15000","1","Plus","red","Responsive","Twitter Bootstrap","public://corporatedrupal-theme-Bred_462x392_0.jpg","public://business-theme-drupalr-Bred_924x784_0.jpg","","False","Business - Corporate","please, contact us for complete description","False","False","http://html.orange-idea.com/builder-html/","yes","","$0.00"
"builder_red_unlimited","Builder Red Unlimited","30000","1","Ultimate","red","Responsive","Twitter Bootstrap","public://corporatedrupal-theme-Bred_462x392_1.jpg","public://business-theme-drupalr-Bred_924x784_1.jpg","","False","Business - Corporate","Please, contact us for complete description","False","False","http://html.orange-idea.com/builder-html/","yes","","$0.00"
"cascade_basic","Drupal Admin Theme - Cascade","8000","1","Basic","color fits all","Responsive","Twitter Bootstrap","public://drupal-admin-theme-cascade-462x392.jpg","public://drupal-hosting-theme-cascade-924x784.jpg","","True","Admin - Hosting","Please, contact us for complete description","False","False","http://bootstrapguru.com/preview/cascade/index.php","yes","","$0.00"
"cascade_plus","Cascade Plus","15000","1","Plus","color fits all","Responsive","Twitter Bootstrap","public://drupal-admin-theme-cascade-462x392_0.jpg","public://drupal-hosting-theme-cascade-924x784_0.jpg","","False","Admin - Hosting","Please, contact us for complete description","False","False","http://bootstrapguru.com/preview/cascade/index.php","no","","$0.00"
"cascade_ultimate","Cascade Ultimate","30000","1","Ultimate","color fits all","Responsive","Twitter Bootstrap","public://drupal-admin-theme-cascade-462x392_1.jpg","public://drupal-hosting-theme-cascade-924x784_1.jpg","","False","Admin - Hosting","please, contact us for complete description","False","False","http://bootstrapguru.com/preview/cascade/index.php","yes","","$0.00"
"calypso_red_basic","Drupal Company Theme - Calypso","8000","1","Basic","red","Responsive","Twitter Bootstrap","public://drupal-business-themes-calypso-red-462x392_1.jpg","public://drupal-business-theme-calypso-red-924x784_1.jpg","","True","Business - Corporate","","False","False","https://wrapbootstrap.com/theme/calypso-multipurpose-theme-WB03N9066","no","","$0.00"
"calypso_red_plus","Calypso Red Plus","15000","1","Plus","red","Responsive","Twitter Bootstrap","public://drupal-business-themes-calypso-red-462x392.jpg","public://drupal-business-theme-calypso-red-924x784.jpg","","False","Business - Corporate","Please, contact us for complete description","False","False","https://wrapbootstrap.com/theme/calypso-multipurpose-theme-WB03N9066","no","","$0.00"
"calypso_red_ultimate","Calypso Red Ultimate","30000","1","Ultimate","red","Responsive","Twitter Bootstrap","public://drupal-business-themes-calypso-red-462x392_0.jpg","public://drupal-business-theme-calypso-red-924x784_0.jpg","","False","Business - Corporate","Please, contact us for complete description","False","False","https://wrapbootstrap.com/theme/calypso-multipurpose-theme-WB03N9066","no","","$0.00"
